State,County,Year,LabourForce,Employed,Unemployed
Tennessee,Coffee,2016,24364,23219,1145
Kansas,Coffey,2016,4278,4013,265
Texas,Coke,2016,1421,1362,59
Alabama,Colbert,2016,23548,21918,1630
Missouri,Cole,2016,39488,38081,1407
Texas,Coleman,2016,3064,2886,178
Illinois,Coles,2016,24523,23075,1448
Nebraska,Colfax,2016,5544,5387,157
New Mexico,Colfax,2016,5828,5482,346
South Carolina,Colleton,2016,16783,15841,942
Florida,Collier,2016,168898,161045,7853
Texas,Collin,2016,512827,494723,18104
Texas,Collingsworth,2016,1215,1173,42
Virginia,Colonial Heights city,2016,8700,8306,394
Texas,Colorado,2016,9790,9329,461
Georgia,Colquitt,2016,21065,19959,1106
